,lat,lng,name
118,1.293893579,103.8531199,RAFFLES CITY SHOPPING CENTRE
119,1.392217327,103.9044731,RIVERVALE MALL
120,1.385371516,103.9018496,RIVERVALE PLAZA
121,1.305317927,103.7885239,ROCHESTER MALL
122,1.305762924,103.8330834,SCOTTS SQUARE
123,1.391393061,103.8760677,SELETAR MALL
124,1.441853253,103.8248324,SEMBAWANG SHOPPING CENTRE
125,1.310780752,103.8551468,SERANGOON PLAZA
126,1.303022985,103.8528756,SIM LIM SQUARE
127,1.30381133,103.85464,SIM LIM TOWER
128,1.298132148,103.8441384,SINGAPORE SHOPPING CENTRE
129,1.294740948,103.8560006,SOUTH BEACH
130,1.320612586,103.8443315,SQUARE 2
131,1.294091467,103.8508213,STAMFORD HOUSE
132,1.448226538,103.8194621,SUN PLAZA
133,1.377897277,103.7390155,SUNSHINE PLACE
134,1.295466756,103.858585,SUNTEC CITY
135,1.334844875,103.720462,TAMAN JURONG SHOPPING CENTRE
136,1.354323212,103.9451412,TAMPINES 1
137,1.352580252,103.9446962,TAMPINES MALL
138,1.30483283,103.8332367,TANG PLAZA
139,1.304853421,103.8238835,TANGLIN MALL
140,1.304950056,103.8329711,TANGS
141,1.276609528,103.8461808,TANJONG PAGAR CENTRE
142,1.30617773,103.85061,TEKKA CENTRE
143,1.299202264,103.847832,THE CATHAY
144,1.301978045,103.8397589,THE CENTREPOINT
145,1.315496754,103.7645702,THE CLEMENTI MALL
146,1.30085585,103.8624659,THE CONCOURSE
147,1.284731412,103.8432034,THE MAJESTIC
148,1.303949364,103.8358442,THE PARAGON
149,1.391393061,103.8760677,THE SELETAR MALL
150,1.284234913,103.8589822,THE SHOPPES AT MARINA BAY SANDS
151,1.294988044,103.8562762,THE SOUTH BEACH
152,1.30697044,103.7884203,THE STAR VISTA
153,1.338730664,103.87167,THE WOODLEIGH MALL
154,1.354325242,103.8303281,THOMSON PLAZA
155,1.2864712,103.8271583,TIONG BAHRU PLAZA
156,1.353480883,103.8788284,UPPER SERANGOON SHOPPING CENTRE
157,1.319789492,103.8440336,VELOCITY
158,1.430757656,103.7938526,VISTA POINT
159,1.264394681,103.8218086,VIVOCITY
160,1.406426163,103.9022381,WATERWAY POINT
161,1.303742583,103.7660929,WEST COAST PLAZA
162,1.350189166,103.749022,WEST MALL
163,1.33428313,103.7428701,WESTGATE
164,1.30453636,103.8307142,WHEELOCK PLACE
165,1.372398981,103.9497492,WHITE SANDS
166,1.303698907,103.8331896,WISMA ATRIA
167,1.316462384,103.896748,WISMA GEYLANG SERAI
168,1.417999263,103.8412365,WISTERIA MALL
169,1.44564787,103.7981623,WOODLANDS MART
170,1.442845701,103.7908258,WOODLANDS NORTH PLAZA
171,1.397057415,103.7466621,YEW TEE POINT
172,1.398047362,103.7470848,YEW TEE SQUARE
173,1.284807718,103.8434839,YUE HWA BUILDING
174,1.326945045,103.8465544,ZHONGSHAN MALL
175,1.3023159,103.8623317,CITY GATE
176,1.2888386,103.846558,THE CENTRAL
177,1.4299181,103.8364202,GOLDEN VILLAGE - YISHUN TEN
178,1.3105635,103.7961072,RAFFLES HOLLAND V
179,1.3330614,103.7435037,JEM
180,1.3101122,103.8552908,MUSTAFA CENTRE
181,1.3058098,103.8315073,SHAW HOUSE
182,1.3171945,103.8436114,UNITED SQUARE
183,1.3651149,103.8651595,MYVILLAGE @ SERANGOON
